x,y,z,id,pp
0,0,0,0,75291853.3397
20.408163265306,0,0,20.408163265306,75291834.143407
40.816326530612,0,0,40.816326530612,75291814.947114
61.224489795918,0,0,61.224489795918,75291795.75082
81.632653061224,0,0,81.632653061224,75291776.554527
102.04081632653,0,0,102.04081632653,75291757.358234
122.44897959184,0,0,122.44897959184,75291738.161941
142.85714285714,0,0,142.85714285714,75291718.965647
163.26530612245,0,0,163.26530612245,75291699.769354
183.67346938776,0,0,183.67346938776,75291680.573061
204.08163265306,0,0,204.08163265306,75291661.376767
224.48979591837,0,0,224.48979591837,75291642.180474
244.89795918367,0,0,244.89795918367,75291622.984181
265.30612244898,0,0,265.30612244898,75291603.787887
285.71428571429,0,0,285.71428571429,75291584.591594
306.12244897959,0,0,306.12244897959,75291565.395301
326.5306122449,0,0,326.5306122449,75291546.199007
346.9387755102,0,0,346.9387755102,75291527.002714
367.34693877551,0,0,367.34693877551,75291507.806421
387.75510204082,0,0,387.75510204082,75291488.610127
408.16326530612,0,0,408.16326530612,75291469.413834
428.57142857143,0,0,428.57142857143,75291450.217541
448.97959183673,0,0,448.97959183673,75291431.021248
469.38775510204,0,0,469.38775510204,75291411.824954
489.79591836735,0,0,489.79591836735,75291392.628661
510.20408163265,0,0,510.20408163265,75291387.67837
530.61224489796,0,0,530.61224489796,75291396.97408
551.02040816327,0,0,551.02040816327,75291406.269791
571.42857142857,0,0,571.42857142857,75291415.565501
591.83673469388,0,0,591.83673469388,75291424.861212
612.24489795918,0,0,612.24489795918,75291434.156923
632.65306122449,0,0,632.65306122449,75291443.452633
653.0612244898,0,0,653.0612244898,75291452.748344
673.4693877551,0,0,673.4693877551,75291462.044054
693.87755102041,0,0,693.87755102041,75291471.339765
714.28571428571,0,0,714.28571428571,75291480.635475
734.69387755102,0,0,734.69387755102,75291489.931186
755.10204081633,0,0,755.10204081633,75291499.226897
775.51020408163,0,0,775.51020408163,75291508.522607
795.91836734694,0,0,795.91836734694,75291517.818318
816.32653061224,0,0,816.32653061224,75291527.114028
836.73469387755,0,0,836.73469387755,75291536.409739
857.14285714286,0,0,857.14285714286,75291545.70545
877.55102040816,0,0,877.55102040816,75291555.00116
897.95918367347,0,0,897.95918367347,75291564.296871
918.36734693878,0,0,918.36734693878,75291573.592581
938.77551020408,0,0,938.77551020408,75291582.888292
959.18367346939,0,0,959.18367346939,75291592.184003
979.59183673469,0,0,979.59183673469,75291601.479713
1000,0,0,1000,75291610.775424
